Release_date,Build_number,Knowledge_base
2019-10-08,18363.418,KB4517389 (Release Preview)
2019-10-08,18362.418,KB4517389
2019-10-08,17763.806,KB4519338
2019-10-08,17134.1069,KB4524149
2019-10-08,16299.1451,KB4520004
2019-10-08,15063.2108,KB4520010
2019-10-08,14393.3274,KB4519998
2019-10-08,10240.18368,KB4520011
2019-10-03,18362.388,KB4524147
2019-10-03,17763.775,KB4524148
2019-10-03,17134.104,KB4524149
2019-10-03,16299.1421,KB4524150
2019-10-03,15063.2079,KB4524151
2019-10-03,14393.3243,KB4524152
2019-10-03,10240.18335,KB4524153
2019-09-26,18362.387,KB4517211
2019-09-24,17763.774,KB4516077
2019-09-24,17134.1039,KB4516045
2019-09-24,16299.142,KB4516071
2019-09-24,14393.3242,KB4516061
2019-09-23,18362.357,KB4522016
2019-09-23,17763.74,KB4522015
2019-09-23,17134.1009,KB4522014
2019-09-23,16299.1392,KB4522012
2019-09-23,15063.2046,KB4522011
2019-09-23,14393.3206,KB4522010
2019-09-23,10240.18334,KB4522009
2019-09-10,18362.356,KB4515384
2019-09-10,17763.72,KB4512578
2019-09-10,17134.1006,KB4516058
2019-09-10,16299.1387,KB4516066
2019-09-10,15063.2045,KB4516068
2019-09-10,14393.3204,KB4516044
2019-09-10,10240.18333,KB4516070
2019-08-30,18362.329,KB4512941
2019-08-19,17134.984,KB4512509
2019-08-17,17763.72,KB4512534
2019-08-17,16299.1331,KB4512494
2019-08-17,15063.2021,KB4512474
2019-08-17,14393.3181,KB4512495
2019-08-17,10240.18308,KB4517276
2019-08-13,18362.295,KB4512508
2019-08-13,17763.678,KB4511553
2019-08-13,17134.95,KB4512501
2019-08-13,16299.1331,KB4512516
2019-08-13,15063.1988,KB4512507
2019-08-13,14393.3144,KB4512517
2019-08-13,10240.18305,KB4512497
2019-07-27,18362.267,KB4505903
2019-07-23,17763.652,KB4505658
2019-07-16,17134.915,KB4507466
2019-07-16,15063.1955,KB4507467
2019-07-16,14393.3115,KB4507459
2019-07-09,18362.239,KB4507453
2019-07-09,17763.615,KB4507469
2019-07-09,17134.885,KB4507435
2019-07-09,16299.1268,KB4507455
2019-07-09,15063.1928,KB4507450
2019-07-09,14393.3085,KB4507460
2019-07-09,10240.18275,KB4507458
2019-06-27,18362.207,KB4501375
2019-06-18,17763.592,KB4501371
2019-06-18,17134.858,KB4503288
2019-06-18,16299.1237,KB4503281
2019-06-18,15063.1897,KB4503289
2019-06-18,14393.3053,KB4503294
2019-06-11,18362.175,KB4503293
2019-06-11,17763.557,KB4503327
2019-06-11,17134.829,KB4503286
2019-06-11,16299.1217,KB4503286
2019-06-11,15063.1868,KB4503279
2019-06-11,14393.3025,KB4503267
2019-06-11,10240.18244,KB4503291
2019-05-28,16299.1182,KB4499147
2019-05-28,15063.1839,KB4499162
2019-05-24,18362.145,KB4497935
2019-05-24,14393.2999,KB4499177
2019-05-21,17763.529,KB4497934
2019-05-21,17134.799,KB4499183
2019-05-19,18362.116,KB4505057 (Insider-only)
2019-05-19,17763.504,KB4505056
2019-05-19,17134.766,KB4505064
2019-05-19,16299.115,KB4505062
2019-05-19,15063.1808,KB4505055
2019-05-19,14393.2972,KB4505052
2019-05-19,10240.18218,KB4505051
2019-05-14,18362.113,KB4497936 (Insider-only)
2019-05-14,17763.503,KB4494441
2019-05-14,17134.765,KB4499167
2019-05-14,16299.1146,KB4499179
2019-05-14,15063.1805,KB4499181
2019-05-14,14393.2969,KB4494440
2019-05-14,10240.18215,KB4499154
2019-05-01,17763.439,KB4501835
2019-04-26,18362.86,KB4497093 (Insider-only)
2019-04-26,17134.753,KB4493437
2019-04-26,16299.1127,KB4493440
2019-04-26,15063.1784,KB4493436
2019-04-26,14393.2941,KB4493473
2019-04-26,10240.18187,KB4498375
2019-04-09,18362.53,KB4495666 (Insider-only)
2019-04-09,17763.437,KB4493509
2019-04-09,17134.706,KB4493464
2019-04-09,16299.1087,KB4495357
2019-04-09,15254.562,KB4493441
2019-04-09,15063.1747,KB4493474
2019-04-09,14393.2906,KB4493470
2019-04-09,10240.18186,KB4493475
2019-04-02,17763.404,KB4490481
2019-03-19,17134.677,KB4489894
2019-03-19,16299.1059,KB4489890
2019-03-19,15063.1716,KB4489888
2019-03-19,14393.2879,KB4489889
2019-03-12,17763.379,KB4489899
2019-03-12,17134.648,KB4489868
2019-03-12,16299.1029,KB4489886
2019-03-12,15063.1689,KB4489871
2019-03-12,14393.2848,KB4489882
2019-03-12,10240.18158,KB4489872
2019-03-01,17763.348,KB4482887
2019-02-21,10240.18135,KB4491101
2019-02-19,17134.619,KB4486996
2019-02-19,16299.1004,KB4487021
2019-02-19,15063.1659,KB4487011
2019-02-19,14393.2828,KB4487006
2019-02-12,17763.316,KB4487044
2019-02-12,17134.59,KB4487017
2019-02-12,16299.967,KB4486996
2019-02-12,15063.1631,KB4487020
2019-02-12,14393.2791,KB4487026
2019-02-12,10240.18132,KB4487018
2019-01-22,17763.292,KB44476976
2019-01-15,17134.556,KB4480976
2019-01-15,16299.936,KB4480967
2019-01-15,15063.1596,KB4480959
2019-01-08,17763.253,KB4480116
2019-01-08,17134.523,KB4480966
2019-01-08,16299.904,KB4480978
2019-01-08,15063.1563,KB4480973
2019-01-08,14393.2724,KB4480961
2019-01-08,10240.18094,KB4480962
2018-12-11,17763.194,KB4471332
2018-12-11,17134.471,KB4471324
2018-12-11,16299.846,KB4471329
2018-12-11,15063.1506,KB4471327
2018-12-11,14393.2665,KB4471321
2018-12-11,10240.18063,KB4471323
2018-12-05,17763.168,KB4469342
2018-12-03,14393.2641,KB4478877
2018-11-27,17763.167,KB4467682 (Insider-only)
2018-11-27,17134.441,KB4467682
2018-11-27,16299.82,KB4467681
2018-11-27,15063.1478,KB4467699
2018-11-13,17763.134,KB4467708
2018-11-13,17134.407,KB4467702
2018-11-13,16299.785,KB4467686
2018-11-13,15063.1446,KB4467696
2018-11-13,14393.2608,KB4467691
2018-11-13,10240.18036,KB4467680
2018-10-24,17134.376,KB4462933
2018-10-18,16299.755,KB4462932
2018-10-18,15063.1418,KB4462939
2018-10-18,14393.258,KB4462928
2018-10-09,17763.55,KB4464330
2018-10-09,17134.345,KB4462919
2018-10-09,16299.726,KB4462918
2018-10-09,15254.538,KB4464853
2018-10-09,15063.1387,KB4462937
2018-10-09,14393.2551,KB4462917
2018-09-26,17134.32,KB4458469 (Re-release)
2018-09-26,16299.699,KB4457136 (Re-release)
2018-09-20,17134.319,KB4458469
2018-09-20,16299.697,KB4457136
2018-09-20,15063.1358,KB4457141
2018-09-20,14393.2517,KB4457127
2018-09-17,17134.286,KB4464218
2018-09-17,16299.666,KB4464217
2018-09-11,17134.285,KB4457128
2018-09-11,16299.665,KB4457142
2018-09-11,15063.1324,KB4457138
2018-09-11,15254.53,KB4459082
